Date,Games_Played,Num_Sims,Amber,Becca,Damon,Grandpa,Greta,Jason,Mom,Ryan,Tie
20-Dec-20,0,"100,000",0.046,0.144,0.204,0.183,0.0672,0.0973,0.0214,0.142,0.0952
21-Dec-20,1,"100,000",0.0466,0.143,0.203,0.183,0.0682,0.0989,0.0167,0.145,0.0958
22-Dec-20,2,"100,000",0.0676,0.208,0.112,0.24,0.0255,0.0313,0.00919,0.223,0.0829
22-Dec-20,3,"100,000",0.0848,0.261,0.062,0.291,0.0325,0.052,0.00361,0.125,0.0882
23-Dec-20,4,"100,000",0.0695,0.213,0.0872,0.256,0.0268,0.0768,0.00182,0.159,0.111
23-Dec-20,5,"100,000",0.0803,0.245,0.101,0.179,0.0148,0.0857,0.00223,0.176,0.116
24-Dec-20,6,"100,000",0.124,0.392,0.0488,0.077,0.03,0.17,0.0029,0.0598,0.0955
25-Dec-20,7,"100,000",0.0974,0.316,0.0714,0.118,0.0463,0.119,0.00268,0.0976,0.132
26-Dec-20,8,"100,000",0.0873,0.277,0.0705,0.1,0.121,0.102,0.00702,0.0943,0.14
26-Dec-20,9,"100,000",0.0903,0.275,0.0711,0.0997,0.12,0.104,0.00224,0.0931,0.145
26-Dec-20,10,"100,000",0.0954,0.279,0.126,0.102,0.128,0.14,0.00239,0.0237,0.103
29-Dec-20,11,"100,000",0.0792,0.208,0.0852,0.182,0.182,0.102,0.00155,0.0217,0.139
29-Dec-20,12,"25,000",0.0769,0.21,0.084,0.179,0.183,0.103,0.00152,0.021,0.141
30-Dec-20,13,"10,000",0.0773,0.213,0.0835,0.186,0.188,0.122,0.0013,0,0.129
30-Dec-20,14,"10,000",0.0398,0.095,0.059,0.286,0.294,0.0597,0,0,0.167
31-Dec-20,15,"10,000",0.0346,0.242,0.107,0.188,0.217,0.0217,0,0,0.19
31-Dec-20,16,"10,000",0.0225,0.214,0.216,0.156,0.205,0.0239,0,0,0.164
31-Dec-20,17,"10,000",0.0131,0.233,0.334,0.16,0.17,0.0296,0,0,0.0597
1-Jan-21,18,"10,000",0.0056,0.15,0.404,0.24,0.147,0.0153,0,0,0.0389
1-Jan-21,19,"10,000",0.0153,0.218,0.139,0.316,0.179,0.0396,0,0,0.093
1-Jan-21,20,"10,000",0.0114,0.258,0.144,0.281,0.174,0.0479,0,0,0.084
1-Jan-21,21,1,0.0105,0.2505,0.1365,0.1856,0.2336,0.1211,0,0,0.0621
2-Jan-21,22,1,0.0178,0.4545,0,0.1787,0.2432,0,0,0,0.1058
2-Jan-21,23,1,0.0683,0,0,0,0.9317,0,0,0,0
2-Jan-21,24,1,0,0,0,0,1,0,0,0,0
2-Jan-21,25,1,0,0,0,0,1,0,0,0,0
11-Jan-21,26,1,0,0,0,0,1,0,0,0,0
