Date,Games_Played,Games Remaining,Num_Sims,Amber,Aidan,Becca,Damon,Grandpa,Greta,Jason,Jaxon,Michelle,Ryan,Tie
12/17/2021,0,43,"100,000",0.0504,0.0383,0.212,0.0883,0.232,0.0556,0.109,0.0421,0.0327,0.114,0.0251
12/17/2021,1,42,"100,000",0.0463,0.0354,0.203,0.0847,0.22,0.0513,0.103,0.0694,0.0543,0.109,0.0231
12/17/2021,2,41,"100,000",0.048,0.0372,0.215,0.0861,0.231,0.039,0.107,0.0568,0.0439,0.112,0.0251
12/18/2021,3,40,"100,000",0.0355,0.0561,0.173,0.0636,0.189,0.0622,0.0828,0.081,0.0645,0.172,0.02
12/18/2021,4,39,"100,000",0.0369,0.0583,0.18,0.0672,0.196,0.0672,0.0867,0.0646,0.0512,0.172,0.021
12/18/2021,5,38,"100,000",0.0316,0.0517,0.166,0.0599,0.183,0.0594,0.0824,0.102,0.0816,0.163,0.0193
12/18/2021,6,37,"100,000",0.0418,0.0647,0.154,0.0785,0.169,0.0525,0.0738,0.123,0.0714,0.151,0.0208
12/18/2021,7,36,"100,000",0.0581,0.09,0.102,0.106,0.106,0.0312,0.109,0.0817,0.0969,0.197,0.0226
12/18/2021,8,35,"100,000",0.0641,0.0964,0.109,0.113,0.115,0.0351,0.117,0.0517,0.0636,0.21,0.0245
12/20/2021,9,34,"100,000",0.0753,0.116,0.124,0.0897,0.132,0.0409,0.139,0.039,0.0475,0.17,0.0266
12/21/2021,10,33,"100,000",0.0463,0.128,0.133,0.1,0.142,0.0448,0.149,0.0201,0.029,0.178,0.0305
12/21/2021,11,32,"100,000",0.0801,0.109,0.123,0.0883,0.134,0.0397,0.141,0.0382,0.0505,0.17,0.0261
12/22/2021,12,31,"100,000",0.06,0.0827,0.084,0.0585,0.164,0.0531,0.177,0.0542,0.0389,0.205,0.023
12/23/2021,13,30,"100,000",0.0416,0.0598,0.104,0.0394,0.188,0.0317,0.193,0.0628,0.0277,0.24,0.0122
12/23/2021,14,29,"100,000",0.0664,0.0406,0.0685,0.0648,0.123,0.0563,0.133,0.0384,0.0444,0.358,0.00701
12/23/2021,14,28,"100,000",0.0681,0.04,0.0686,0.0647,0.122,0.0558,0.134,0.0371,0.046,0.357,0.00723
12/26/2021,15,27,"100,000",0.0713,0.043,0.0602,0.0692,0.129,0.0487,0.142,0.0427,0.016,0.368,0.0103
12/26/2021,15,25,"100,000",0.079,0.045,0.0582,0.0588,0.132,0.0442,0.133,0.0432,0.0173,0.381,0.00838
12/27/2021,16,24,"100,000",0.0579,0.0726,0.0437,0.04,0.21,0.0702,0.0999,0.0724,0.00974,0.314,0.0095
12/28/2021,16,23,"100,000",0.0587,0.0917,0.0324,0.0294,0.183,0.0804,0.0755,0.0755,0.00814,0.355,0.0112
12/28/2021,17,22,"100,000",0.0375,0.144,0.0231,0.0178,0.15,0.0589,0.144,0.118,0.0152,0.28,0.012
12/28/2021,17,21,"100,000",0.0393,0.13,0.022,0.0191,0.157,0.058,0.142,0.13,0.0165,0.279,0.00577
12/28/2021,18,20,"100,000",0.0148,0.176,0.00766,0.0049,0.18,0.0704,0.162,0.0607,0.00572,0.316,0.00215
12/28/2021,19,19,"100,000",0.0383,0.134,0.00664,0.00412,0.168,0.0603,0.15,0.128,0.0144,0.295,0.00225
12/28/2021,20,18,"50,000",0.0409,0.137,0.00724,0.00034,0.171,0.0609,0.152,0.13,0.00392,0.294,0.00208
12/29/2021,21,17,"50,000",0.059,0.169,0.00294,0,0.0943,0.0858,0.244,0.177,0.00068,0.166,0.00074
12/29/2021,22,16,"50,000",0.0638,0.214,0.00096,0,0.121,0.0998,0.333,0.0971,0.00088,0.0687,0
12/29/2021,23,15,"25,000",0.056,0.201,0.00112,0,0.147,0.128,0.283,0.0854,0.00076,0.0973,0.00004
12/30/2021,24,14,"25,000",0.0986,0.301,0,0,0.105,0.0672,0.211,0.153,0.00036,0.0625,0
12/30/2021,25,13,"25,000",0.111,0.32,0,0,0.032,0.0714,0.273,0.193,0.00012,0,0
12/30/2021,26,12,"25,000",0.0228,0.453,0,0,0.0074,0.119,0.122,0.274,0.0008,0,0
12/30/2021,27,11,"25,000",0.0211,0.455,0,0,0.00868,0.115,0.129,0.271,0,0,0
12/31/2021,28,10,"25,000",0.0208,0.461,0,0,0.00808,0.121,0.124,0.266,0,0,0
12/31/2021,29,9,"25,000",0.0204,0.459,0,0,0.007,0.12,0.121,0.272,0,0,0
12/31/2021,30,8,"25,000",0.0172,0.407,0,0,0.00744,0.136,0.116,0.316,0,0,0
12/31/2021,31,7,"25,000",0,0.284,0,0,0.0118,0.0666,0.174,0.463,0,0,0
1/1/2022,32,6,"25,000",0,0.447,0,0,0,0.0401,0.312,0.201,0,0,0
1/1/2022,33,5,"25,000",0,0.446,0,0,0,0.0407,0.313,0.2,0,0,0
1/1/2022,34,4,"25,000",0,0.588,0,0,0,0,0.139,0.273,0,0,0
1/1/2022,35,3,"25,000",0,0.613,0,0,0,0,0.158,0.229,0,0,0
1/1/2022,36,2,"25,000",0,0.778,0,0,0,0,0,0.222,0,0,0
1/5/2022,37,1,"25,000",0,1,0,0,0,0,0,0,0,0,0
1/11/2022,38,0,1,0,1,0,0,0,0,0,0,0,0,0
