Date,Games_Played,Games Remaining,Num_Sims,Aidan,Amber,Becca,Damon,Grandpa,Greta,Jason,Jaxon,Landen,Michelle,Ryan,Tie
15-Dec,0,43,"10,000",0.0732,0.035,0.153,0.0908,0.12,0.0392,0.0566,0.05,0.142,0.0281,0.168,0.0457
16-Dec,1,42,"10,000",0.0717,0.0234,0.159,0.0925,0.119,0.04,0.0558,0.0447,0.139,0.032,0.181,0.0413
16-Dec,2,41,"10,000",0.0461,0.0206,0.125,0.135,0.0923,0.0584,0.0444,0.0395,0.103,0.0241,0.26,0.0511
17-Dec,3,40,"10,000",0.0663,0.0258,0.171,0.17,0.0608,0.0489,0.0283,0.0273,0.143,0.0178,0.195,0.0454
17-Dec,4,39,"10,000",0.0644,0.0433,0.155,0.16,0.0581,0.0687,0.0275,0.0443,0.132,0.0135,0.189,0.044
17-Dec,5,38,"10,000",0.067,0.0276,0.172,0.176,0.0576,0.0801,0.0262,0.0265,0.139,0.0049,0.182,0.042
17-Dec,6,37,"10,000",0.0458,0.0397,0.137,0.14,0.0401,0.07,0.0235,0.0424,0.106,0.0059,0.296,0.0528
17-Dec,7,36,"10,000",0.0513,0.0458,0.0983,0.154,0.0471,0.0481,0.0275,0.0311,0.117,0.0024,0.323,0.055
17-Dec,8,35,"10,000",0.0345,0.0321,0.0748,0.21,0.0719,0.0342,0.0445,0.0422,0.172,0.0015,0.237,0.0454
17-Dec,9,34,"10,000",0.0343,0.0154,0.0761,0.219,0.0721,0.0362,0.0408,0.0458,0.175,0.0003,0.233,0.0525
19-Dec,10,33,"10,000",0.0221,0.0126,0.0761,0.228,0.078,0.0269,0.0402,0.039,0.18,0.0004,0.251,0.0448
20-Dec,11,32,"10,000",0.0098,0.0043,0.049,0.326,0.0306,0.0368,0.0305,0.0477,0.289,0.0005,0.141,0.0342
20-Dec,12,31,"10,000",0.0041,0.0082,0.0614,0.239,0.0424,0.0225,0.0382,0.0355,0.335,0.0001,0.177,0.0361
21-Dec,13,30,"10,000",0.0021,0.0096,0.09,0.318,0.0263,0.0174,0.0255,0.043,0.301,0.0001,0.145,0.0225
22-Dec,14,29,"10,000",0.0019,0.0099,0.0827,0.295,0.026,0.0192,0.0586,0.0463,0.29,0.0001,0.141,0.0299
23-Dec,15,28,"10,000",0.0009,0.0095,0.0845,0.298,0.0305,0.0177,0.0635,0.0417,0.287,0.0001,0.139,0.0273
23-Dec,16,27,"10,000",0.0017,0.0107,0.0881,0.301,0.0296,0.0073,0.0677,0.0251,0.3,0.0001,0.14,0.0282
24-Dec,17,26,"10,000",0.0006,0.0085,0.0621,0.264,0.0452,0.0057,0.0518,0.0164,0.432,0.0002,0.0908,0.0222
26-Dec,18,25,"10,000",0,0.0059,0.0445,0.324,0.0855,0.0081,0.029,0.0124,0.313,0.0001,0.14,0.0382
27-Dec,19,24,"10,000",0,0.0051,0.0417,0.331,0.0832,0.0086,0.0303,0.0226,0.302,0.0001,0.139,0.0368
27-Dec,20,23,"10,000",0,0.0042,0.0445,0.345,0.0847,0.0036,0.0291,0.0228,0.291,0.0001,0.14,0.0345
27-Dec,21,22,"10,000",0,0.0018,0.0538,0.244,0.101,0.0041,0.0225,0.0294,0.327,0.0001,0.171,0.0442
27-Dec,22,21,"10,000",0,0.0038,0.0582,0.15,0.128,0.0015,0.0108,0.0345,0.352,0.0001,0.206,0.0545
28-Dec,23,20,"10,000",0,0.0053,0.0313,0.104,0.185,0.0028,0.0065,0.0461,0.51,0.0001,0.106,0.0023
28-Dec,24,19,"10,000",0,0.0027,0.0328,0.0484,0.212,0.0003,0.0039,0.0213,0.542,0,0.136,0.0007
28-Dec,25,18,"10,000",0,0.0008,0.0115,0.0491,0.22,0,0.0038,0.0152,0.556,0,0.144,0.0004
28-Dec,26,17,"10,000",0,0.0027,0.0107,0.117,0.188,0,0.0015,0.028,0.532,0,0.12,0.0001
29-Dec,27,16,"10,000",0,0.0021,0.0106,0.116,0.186,0,0.0017,0.0306,0.532,0,0.121,0.0002
29-Dec,28,15,"10,000",0,0.0019,0.0105,0.119,0.192,0,0.0021,0.0071,0.541,0,0.127,0
29-Dec,29,14,"10,000",0,0.0009,0.0088,0.277,0.136,0,0.0055,0.006,0.484,0,0.0823,0
30-Dec,30,13,"10,000",0,0.0018,0.0163,0.277,0.131,0,0.0103,0.006,0.483,0,0.0745,0
30-Dec,31,12,"10,000",0,0,0.0132,0.45,0.0839,0,0,0.0041,0.414,0,0.034,0
30-Dec,32,11,"10,000",0,0,0.0103,0.389,0.0418,0,0,0.006,0.503,0,0.0513,0
30-Dec,33,10,"10,000",0,0,0.0168,0.51,0.0829,0,0,0.0096,0.381,0,0,0
30-Dec,34,9,"10,000",0,0,0.0081,0.777,0,0,0,0,0.215,0,0,0
31-Dec,35,8,"10,000",0,0,0.0189,0.684,0,0,0,0,0.298,0,0,0
31-Dec,36,7,"10,000",0,0,0.0185,0.686,0,0,0,0,0.296,0,0,0
31-Dec,37,6,"10,000",0,0,0,0.706,0,0,0,0,0.294,0,0,0
31-Dec,38,5,"10,000",0,0,0,0.794,0,0,0,0,0.206,0,0,0
2-Jan,39,4,"10,000",0,0,0,0.882,0,0,0,0,0.118,0,0,0
2-Jan,40,3,"10,000",0,0,0,0.884,0,0,0,0,0.116,0,0,0
2-Jan,41,2,0,0,0,0,0.722,0,0,0,0,0.278,0,0,0
2-Jan,42,1,0,0,0,0,0.722,0,0,0,0,0.278,0,0,0
9-Jan,43,0,,,,,,,,,,,,,
