Date,Games_Played,Games Remaining,Num_Sims,Aidan,Amber,Becca,Damon,Grandpa,Greta,Jason,Jaxon,Landen,Michelle,Ryan,Wrigley,Tie
15-Dec,0,43,"10,000",0.0673,0.036,0.138,0.0891,0.101,0.0312,0.0488,0.0399,0.136,0.025,0.166,0.073,0.0478
16-Dec,1,42,"10,000",0.0705,0.0261,0.146,0.0839,0.102,0.0287,0.0539,0.0442,0.137,0.0259,0.164,0.07,0.0476
16-Dec,2,41,"10,000",0.0464,0.0186,0.105,0.132,0.0758,0.0439,0.0417,0.0288,0.0927,0.0193,0.245,0.101,0.0492
17-Dec,3,40,"10,000",0.062,0.0246,0.143,0.159,0.0473,0.0359,0.0284,0.0246,0.136,0.0152,0.186,0.0896,0.0473
17-Dec,4,39,"10,000",0.0668,0.0382,0.132,0.158,0.0432,0.0573,0.0238,0.0414,0.129,0.0096,0.177,0.0796,0.0439
17-Dec,5,38,"10,000",0.057,0.0233,0.14,0.162,0.0454,0.0656,0.0241,0.0245,0.134,0.0045,0.191,0.0824,0.0467
17-Dec,6,37,"10,000",0.0469,0.0392,0.117,0.136,0.035,0.0553,0.0239,0.038,0.0974,0.0045,0.283,0.0697,0.0536
17-Dec,7,36,"10,000",0.0485,0.04,0.0756,0.144,0.0405,0.0411,0.0216,0.0282,0.108,0.0016,0.314,0.0831,0.0529
17-Dec,8,35,"10,000",0.0313,0.0276,0.0538,0.205,0.0598,0.0233,0.032,0.035,0.152,0.0021,0.219,0.118,0.0423
17-Dec,9,34,"10,000",0.0353,0.014,0.0543,0.203,0.0593,0.0227,0.0392,0.0352,0.158,0.0007,0.216,0.115,0.0478
19-Dec,10,33,"10,000",0.0191,0.0081,0.0593,0.209,0.0554,0.0159,0.0375,0.0283,0.169,0.0002,0.233,0.12,0.0451
20-Dec,11,32,"10,000",0.0088,0.0047,0.0364,0.317,0.0218,0.0222,0.0239,0.0438,0.275,0.0001,0.131,0.0841,0.0308
20-Dec,12,31,"10,000",0.0048,0.0064,0.0509,0.223,0.0351,0.0143,0.0337,0.0247,0.307,0.0001,0.16,0.104,0.0353
21-Dec,13,30,"10,000",0.0019,0.0095,0.071,0.297,0.0217,0.0116,0.0218,0.0337,0.284,0.0001,0.137,0.0861,0.0241
22-Dec,14,29,"10,000",0.0012,0.0095,0.0679,0.269,0.0227,0.0107,0.0534,0.0348,0.284,0.0001,0.13,0.0897,0.0274
23-Dec,15,28,"10,000",0.0014,0.0079,0.0625,0.277,0.0212,0.0115,0.059,0.0356,0.282,0.0001,0.128,0.0873,0.0264
